"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"32","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","22","Parameter 'element' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"33","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","2","27","Avoid reassigning parameters such as 'data'","Design Rules","AvoidReassigningParameters"
"34","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","2","27","Avoid reassigning parameters such as 'data'","Design Rules","AvoidReassigningParameters"
"35","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","28","Local variable 'parameterResults' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"36","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","5","30","Found 'DD'-anomaly for variable 'found' (lines '30'-'37').","Controversial Rules","DataflowAnomalyAnalysis"
"37","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","5","37","Found 'DD'-anomaly for variable 'found' (lines '37'-'37').","Controversial Rules","DataflowAnomalyAnalysis"
"38","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","2","49","Avoid reassigning parameters such as 'data'","Design Rules","AvoidReassigningParameters"
"39","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","2","49","Avoid reassigning parameters such as 'data'","Design Rules","AvoidReassigningParameters"
"40","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","49","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"41","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","51","Local variable 'key' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"42","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","69","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"43","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","72","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"44","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/JsonPath.java","3","74","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"45","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","9","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"46","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","10","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"47","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","16","Parameter 'data' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"48","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","28","Parameter 'data' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"49","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","32","Parameter 'data' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"50","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","36","Parameter 'data' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"51","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","41","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"52","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","41","Private field 'name' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"53","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","42","Avoid variables with short names like id","Naming Rules","ShortVariable"
"54","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","42","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"55","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","42","Private field 'id' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"56","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","44","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"57","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","45","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"58","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","45","Private field 'defaultValue' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"59","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","49","Avoid variables with short names like id","Naming Rules","ShortVariable"
"60","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","49","Parameter 'defaultValue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"61","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","65","Use block level rather than method level synchronization","Design Rules","AvoidSynchronizedAtMethodLevel"
"62","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","81","Use block level rather than method level synchronization","Design Rules","AvoidSynchronizedAtMethodLevel"
"63","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","85","Use block level rather than method level synchronization","Design Rules","AvoidSynchronizedAtMethodLevel"
"64","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","93","Use block level rather than method level synchronization","Design Rules","AvoidSynchronizedAtMethodLevel"
"65","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/Parameter.java","3","105","Use block level rather than method level synchronization","Design Rules","AvoidSynchronizedAtMethodLevel"
"66","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","4","3","Avoid unused imports such as 'java.io.File'","Type Resolution Rules","UnusedImports"
"67","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","23","The class 'ParameterTypeResolver' has a Cyclomatic Complexity of 6 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"68","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","26","Avoid excessively long variable names like parameterNamePattern","Naming Rules","LongVariable"
"69","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","27","Avoid excessively long variable names like parameterNameMatcher","Naming Rules","LongVariable"
"70","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","58","Avoid excessively long variable names like expectedTypeByProperty","Naming Rules","LongVariable"
"71","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","59","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"72","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","59","Private field 'expectedTypeQuery' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"73","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","61","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"74","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","61","Private field 'readService' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"75","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","62","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"76","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","62","Perhaps 'queryParser' could be replaced by a local variable.","Design Rules","SingularField"
"77","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","62","Private field 'queryParser' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"78","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","63","Avoid unused private fields such as 'reader'.","Unused Code Rules","UnusedPrivateField"
"79","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","63","Private field 'reader' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"80","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","65","Parameter 'readService' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"81","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","71","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"82","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","2","77","Avoid reassigning parameters such as 'expectedType'","Design Rules","AvoidReassigningParameters"
"83","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","2","77","Avoid reassigning parameters such as 'expectedType'","Design Rules","AvoidReassigningParameters"
"84","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","77","Parameter 'data' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"85","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","77","Parameter 'query' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"86","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","77","The method 'processData' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"87","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","79","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"88","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","85","Local variable 'mapData' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"89","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","87","Local variable 'type' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"90","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","90","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"91","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","95","Local variable 'value' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"92","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","5","96","Found 'DD'-anomaly for variable 'childExpectedType' (lines '96'-'102').","Controversial Rules","DataflowAnomalyAnalysis"
"93","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","5","96","Found 'DD'-anomaly for variable 'childExpectedType' (lines '96'-'108').","Controversial Rules","DataflowAnomalyAnalysis"
"94","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","100","Local variable 'name' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"95","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","101","Avoid variables with short names like id","Naming Rules","ShortVariable"
"96","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","101","Local variable 'id' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"97","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","115","Avoid variables with short names like id","Naming Rules","ShortVariable"
"98","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","115","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"99","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","117","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"100","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","118","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"101","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","119","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"102","com.narphorium.freebase.query","src/main/java/com/narphorium/freebase/query/ParameterTypeResolver.java","3","129","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"103","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","4","18","Avoid unused imports such as 'com.narphorium.freebase.query.AbstractQuery'","Type Resolution Rules","UnusedImports"
"104","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","24","The class 'QueryParser' has a Cyclomatic Complexity of 6 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"105","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","27","Avoid excessively long variable names like parameterNamePattern","Naming Rules","LongVariable"
"106","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","28","Avoid excessively long variable names like parameterNameMatcher","Naming Rules","LongVariable"
"107","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","30","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"108","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","30","Parameter 'queryString' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"109","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","31","Local variable 'reader' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"110","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","32","Local variable 'parameters' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"111","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","33","Local variable 'parametersByName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"112","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","34","Local variable 'blankFields' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"113","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","35","Local variable 'data' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"114","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","40","Parameter 'queryFile' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"115","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","45","Found 'DD'-anomaly for variable 'line' (lines '45'-'46').","Controversial Rules","DataflowAnomalyAnalysis"
"116","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","46","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"117","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","46","Found 'DU'-anomaly for variable 'line' (lines '46'-'55').","Controversial Rules","DataflowAnomalyAnalysis"
"118","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","47","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"119","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","49","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"120","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","58","Parameter 'blankFields' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"121","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","58","Parameter 'data' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"122","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","58","The method 'processData' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"123","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","59","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"124","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","62","Avoid variables with short names like i","Naming Rules","ShortVariable"
"125","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","62","Found 'DU'-anomaly for variable 'i' (lines '62'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"126","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","64","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"127","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","74","Avoid unused local variables such as 'childExpectedType'.","Unused Code Rules","UnusedLocalVariable"
"128","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","74","Found 'DD'-anomaly for variable 'childExpectedType' (lines '74'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"129","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","74","Found 'DU'-anomaly for variable 'childExpectedType' (lines '74'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"130","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","75","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"131","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","77","Avoid variables with short names like id","Naming Rules","ShortVariable"
"132","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","77","Found 'DD'-anomaly for variable 'id' (lines '77'-'77').","Controversial Rules","DataflowAnomalyAnalysis"
"133","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","77","Found 'DD'-anomaly for variable 'id' (lines '77'-'82').","Controversial Rules","DataflowAnomalyAnalysis"
"134","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","77","Found 'DU'-anomaly for variable 'id' (lines '77'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"135","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","78","Found 'DD'-anomaly for variable 'name' (lines '78'-'78').","Controversial Rules","DataflowAnomalyAnalysis"
"136","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","78","Found 'DD'-anomaly for variable 'name' (lines '78'-'81').","Controversial Rules","DataflowAnomalyAnalysis"
"137","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","78","Found 'DU'-anomaly for variable 'name' (lines '78'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"138","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","82","Found 'DD'-anomaly for variable 'id' (lines '82'-'77').","Controversial Rules","DataflowAnomalyAnalysis"
"139","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","5","82","Found 'DU'-anomaly for variable 'id' (lines '82'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"140","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","84","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"141","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","85","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"142","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","89","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"143","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryParser.java","3","98","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"144","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","4","3","Avoid unused imports such as 'java.io.File'","Type Resolution Rules","UnusedImports"
"145","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","10","The class 'QueryWriter' has a Cyclomatic Complexity of 7 (Highest = 16).","Code Size Rules","CyclomaticComplexity"
"146","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"147","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","12","Private field 'indent' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"148","com.narphorium.freebase.query.io","src/main/java/com/narphorium/freebase/query/io/QueryWriter.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
